title,soup
star trek: generations (1994),sci-fi star drama adventure enterprise (1994) trek: generations
what's eating gilbert grape (1993),mental gilbert (1993) drama what's eating illness grape
virtuosity (1995),sci-fi killer action thriller virtuosity (1995) serial
while you were sleeping (1995),you were while comedy romance sleeping (1995) coma
muriel's wedding (1994),weddings muriel's wedding comedy australia (1994)
"adventures of priscilla, queen of the desert, the (1994)","priscilla, of men drama dressing queen adventures in comedy desert, cross drag (1994) remade the"
clear and present danger (1994),tom present danger clear and drama action clancy thriller crime (1994)
"client, the (1994)","client, drama grisham mystery thriller (1994) john the"
"corrina, corrina (1994)","interracial corrina corrina, drama comedy romance (1994)"
forrest gump (1994),drama comedy (1994) bittersweet emotional as war heartwarming forrest vietnam stupid does shrimp bubba romance gump is lieutenant touching dan
four weddings and a funeral (1994),weddings and wedding four comedy funeral romance (1994) a
it could happen to you (1994),it to you drama comedy romance gambling happen (1994) could
"wonderful, horrible life of leni riefenstahl, the (macht der bilder: leni riefenstahl, die) (1993)","netflix of queue horrible riefenstahl, (1993) die) in wonderful, life holocaust documentary der leni (macht bilder: the"
"lion king, the (1994)","drama (best original (1994) musical animated feature animation adventure imax disney king, the lion score) music soundtrack children oscar -"
"paper, the (1994)","drama paper, comedy (1994) journalism the"
speed (1994),speed action bus romance thriller (1994)
true lies (1994),true action adventure lies comedy romance thriller spies (1994)
when a man loves a woman (1994),drama woman man romance loves (1994) alcoholism a when
addams family values (1993),children addams (1993) gothic comedy christina values family black lloyd fantasy christopher ricci dark
"age of innocence, the (1993)","of (1993) drama age innocence, wharton edith the"
airheads (1994),comedy airheads (1994)
black beauty (1994),horses children drama adventure black (1994) beauty
blue sky (1994),blue mental oscar sky drama actress) illness romance (best (1994)
carlito's way (1993),(1993) drama al carlito's gangster mafia crime way pacino
dave (1993),(1993) president comedy dave romance
"firm, the (1993)","firm, (1993) drama grisham thriller john the"
"fugitive, the (1993)","tv show (1993) based fugitive, thriller on a the"
"hudsucker proxy, the (1994)","hoop hudsucker comedy (1994) hula proxy, the"
in the line of fire (1993),assassination line of (1993) in action thriller fire the
in the name of the father (1993),of (1993) drama in name father ireland the
what's love got to do with it? (1993),to got (1993) what's drama it? with love do biopic musical
jurassic park (1993),sci-fi jurassic park (1993) action adventure thriller dinosaur
m. butterfly (1993),(1993) drama japan romance m. sexuality butterfly
much ado about nothing (1993),shakespeare much about (1993) nothing ado comedy romance
mrs. doubtfire (1993),men (1993) drama dressing in drag comedy cross mrs. divorce doubtfire
philadelphia (1993),philadelphia (1993) drama aids
radioland murders (1994),show radioland radio business comedy mystery romance (1994) murders
"remains of the day, the (1993)","of (1993) drama day, romance butler remains housekeeper the"
renaissance man (1994),military drama man comedy renaissance (1994)
romper stomper (1992),(1992) romper stomper violence drama action australia racism
rudy (1993),football (1993) drama rudy
schindler's list (1993),true schindler's (1993) drama war moving thought-provoking based biography disturbing story on holocaust list a
searching for bobby fischer (1993),fischer searching bobby (1993) drama for chess
"secret garden, the (1993)","garden, netflix children queue (1993) drama in secret the"
shadowlands (1993),lewis (1993) drama shadowlands romance c.s.
short cuts (1993),cast (1993) drama cuts large short
six degrees of separation (1993),of six (1993) drama separation degrees race
sleepless in seattle (1993),building seattle (1993) drama sleepless in comedy romance empire state
sliver (1993),thriller sliver (1993) bad
blade runner (1982),atmospheric philip dick artificial future sci-fi dreamlike philosophical thriller robots existentialism mindfuck k. blade intelligence runner (1982) action cyberpunk androids
so i married an axe murderer (1993),married so poetry (1993) axe comedy romance i thriller murderer beat an
"nightmare before christmas, the (1993)","children (1993) animation halloween nightmare christmas before christmas, fantasy musical the"
"three musketeers, the (1993)","musketeers, (1993) action adventure three comedy romance knights the"
"war room, the (1993)","politics (1993) war documentary room, the"
welcome to the dollhouse (1995),welcome to dollhouse drama comedy (1995) adolescence the
home alone (1990),alone children home comedy christmas (1990)
ghost (1990),drama comedy romance thriller overrated ghost fantasy (1990)
aladdin (1992),(1992) children disney animation adventure comedy aladdin musical
terminator 2: judgment day (1991),time sci-fi arnold schwarzenegger suspense judgment travel (1991) terminator apocalypse 2: action day nuclear war robots scifi masterpiece
dances with wolves (1990),americans drama wolves dances adventure indians western with native american (1990)
batman (1989),superhero action thriller crime batman (1989)
"silence of the lambs, the (1991)","lambs, suspense of (1991) hannibal drama gothic disturbing thriller crime psychology horror lector silence the"
snow white and the seven dwarfs (1937),dwarfs children disney white snow (1937) and animation drama seven fantasy musical the
beauty and the beast (1991),children disney (1991) and animation romance imax beast fantasy beauty musical the
pinocchio (1940),children disney pinocchio animation fantasy (1940) musical
pretty woman (1990),pretty woman comedy romance (1990) prostitution
fargo (1996),buscemi true brothers drama kidnapping based (1996) fargo comedy thriller crime story steve on coen a dark
"aristocats, the (1970)","children aristocats, animation (1970) disney the"
primal fear (1996),ending suspense fear drama thought-provoking (1996) norton twist mystery thriller crime psychology priest edward primal
jack and sarah (1995),sarah and romance (1995) jack babies
courage under fire (1996),fire drama war action (1996) crime under gulf courage
mission: impossible (1996),mission: tv show a action adventure (1996) based mystery thriller on impossible
song of the little road (pather panchali) (1955),of road little song panchali) drama (1955) (pather india the
"world of apu, the (apur sansar) (1959)","world of (1959) drama india sansar) the apu, (apur"
mystery science theater 3000: the movie (1996),sci-fi science movie spoof (1996) comedy mystery theater 3000: the
space jam (1996),sci-fi children animation jam adventure (1996) comedy bunny fantasy bugs space
mulholland falls (1996),bad drama falls (1996) thriller mulholland crime
"truth about cats & dogs, the (1996)","cats veterinarian & about truth (1996) dogs, comedy romance the"
wallace & gromit: the best of aardman animation (1996),of & wallace best animation aardman (1996) adventure comedy gromit: the
cold comfort farm (1995),netflix queue cold in comedy farm (1995) comfort
"rock, the (1996)","terrorism alcatraz action adventure (1996) bay thriller michael rock, the"
twister (1996),twister action adventure (1996) romance thriller disaster
wallace & gromit: a close shave (1995),shave children & wallace close animation aardman comedy gromit: (1995) a
"arrival, the (1996)","sci-fi aliens arrival, action (1996) thriller the"
dr. strangelove or: how i learned to stop worrying and love the bomb (1964),essence worrying and satire comedy slim pickens dark to bomb atomic war purity stop the of i or: how strangelove black dr. love quirky (1964) learned
trainspotting (1996),narrated book drama drug based (1996) comedy crime abuse on a dark trainspotting
independence day (a.k.a. id4) (1996),sci-fi aliens action day (1996) adventure thriller (a.k.a. independence id4)
lone star (1996),netflix star lone queue drama in (1996) mystery western
"time to kill, a (1996)","time to drama kill, grisham (1996) thriller john a"
"very brady sequel, a (1996)","brady very tv show sequel, based (1996) comedy on a"
"first wives club, the (1996)","adultery (1996) comedy club, wives first the"
ransom (1996),it give kidnapping and mel (1996) was me thriller crime of kind son! ransom back my dumb gibson melodramatic
chain reaction (1996),at reaction seen action (1996) adventure chain cinema thriller the
emma (1996),drama emma (1996) comedy romance jane austen
tin cup (1996),tin drama cup (1996) comedy romance golf
"godfather, the (1972)","drama mafia crime godfather, (1972) the"
twelfth night (1996),shakespeare drama (1996) comedy romance twelfth night
"philadelphia story, the (1940)","drama comedy story, romance divorce philadelphia (1940) the"
singin' in the rain (1952),(1952) movie business in comedy romance rain singin' musical the
"american in paris, an (1951)","france in romance american paris, (1951) an musical"
breakfast at tiffany's (1961),at (1961) drama capote romance tiffany's breakfast
vertigo (1958),250 falling (1958) stewart atmospheric hitchcock vertigo drama romance mystery thriller alfred imdb top james
rear window (1954),250 rear stewart voyeurism mystery thriller imdb (1954) top photography james window photographer
it happened one night (1934),it happened one (1934) comedy romance screwball night
gaslight (1944),drama gaslight thriller (1944) brooch
"gay divorcee, the (1934)","(1934) musical comedy romance divorce divorcee, gay the"
north by northwest (1959),250 mount (1959) hitchcock rushmore action adventure romance mystery northwest thriller alfred imdb north by top
"apartment, the (1960)","(1960) apartment, drama adultery comedy romance the"
some like it hot (1959),it like (1959) hot men drag in comedy crime some
charade (1963),heist (1963) comedy mystery romance crime thriller charade
casablanca (1942),of start drama casablanca beautiful romance friendship (1942) a
"maltese falcon, the (1941)","(1941) maltese statue mystery film-noir falcon, the"
my fair lady (1964),drama comedy fair romance george bernard my shaw lady (1964) musical
sabrina (1954),guy - rich comedy romance poor girl (1954) sabrina
roman holiday (1953),roman drama royalty holiday comedy romance italy (1953)
meet me in st. louis (1944),1900s in me (1944) st. louis meet musical
"wizard of oz, the (1939)","children of adventure musical oz, fantasy wizard dorothy toto (1939) the"
gone with the wind (1939),gone wind drama war romance with civil (1939) the
my favorite year (1982),favorite (1982) year comedy my television
sunset blvd. (a.k.a. sunset boulevard) (1950),sunset blvd. movies movie drama (1950) romance (a.k.a. boulevard) eerie film-noir business
citizen kane (1941),(1941) drama kane citizen mystery rosebud
2001: a space odyssey (1968),250 revolutionary apes surreal aliens atmospheric drama (best overrated relaxing artificial confusing hal future a technology sci-fi c. odyssey travel arthur 2001: philosophical adventure film appealing robots (1968) paced spacecraft ship futuristic cinematography tedious setting:space/space effects) slow intelligence meditative imdb kubrick music visual soundtrack superb top cult masterpiece space clarke ending effects visually oscar computer - mystery dull classic stanley
all about eve (1950),eve about drama (1950) all hollywood
"women, the (1939)","women, comedy divorce (1939) the"
rebecca (1940),drama rebecca mystery romance thriller mrs. dewinter (1940)
foreign correspondent (1940),drama war mystery thriller journalism europe film-noir correspondent (1940) foreign
notorious (1946),assassination notorious romance thriller film-noir (1946)
spellbound (1945),(1945) spellbound romance mystery thriller amnesia
father of the bride (1950),bride of (1950) wedding comedy father the
ninotchka (1939),war cold ninotchka russia comedy romance (1939)
gigi (1958),(1958) gigi musical prostitution
"adventures of robin hood, the (1938)","of hood, (1938) action adventures adventure romance robin swashbuckler the"
"mark of zorro, the (1940)","of zorro, adventure mark swashbuckler (1940) the"
"ghost and mrs. muir, the (1947)","ghosts and drama romance mrs. ghost muir, fantasy (1947) the"
lost horizon (1937),horizon (1937) drama lost shangri-la
top hat (1935),hat and (1935) comedy romance rogers top astaire musical
my man godfrey (1936),homeless (1936) man comedy romance butler godfrey my screwball
giant (1956),giant drama romance western oil (1956)
"thin man, the (1934)","nora (1934) and comedy crime charles man, thin nick the"
his girl friday (1940),friday girl comedy romance his screwball (1940)
around the world in 80 days (1956),world race in days adventure comedy around (1956) 80 the
it's a wonderful life (1946),it's children drama life romance christmas fantasy a wonderful (1946)
mr. smith goes to washington (1939),to politics smith drama mr. goes (1939) washington
bringing up baby (1938),up (1938) bringing leopard baby comedy romance screwball
penny serenade (1941),(1941) serenade drama penny romance adoption
"39 steps, the (1935)","39 steps, drama fugitive (1935) mystery thriller the"
night of the living dead (1968),sci-fi of zombies thriller dead living (1968) horror night the
"african queen, the (1951)","missionary war queen, adventure comedy romance african (1951) the"
beat the devil (1953),drama adventure devil comedy romance crime (1953) beat the
cat on a hot tin roof (1958),tin (1958) hot williams drama tennessee roof on cat a
meet john doe (1941),(1941) drama comedy journalism doe meet john
"farewell to arms, a (1932)","to arms, war (1932) farewell romance hemingway a"
fly away home (1996),fly children animal movie adventure (1996) home away
michael collins (1996),drama (1996) collins michael ireland
big night (1996),drama (1996) comedy big food night
"chamber, the (1996)","death drama grisham (1996) john penalty chamber, the"
"love bug, the (1969)","bug, children race comedy (1969) love disney the"
"parent trap, the (1961)","children (1961) twins comedy romance trap, parent the"
cinderella (1950),children disney animation (1950) romance fantasy cinderella musical
"sword in the stone, the (1963)","stone, children disney (1963) arthur animation king in sword fantasy musical the"
mary poppins (1964),mary children disney nanny comedy fantasy poppins (1964) musical
dumbo (1941),children (1941) disney drama animation dumbo musical
pete's dragon (1977),children disney animation dragon adventure (1977) pete's musical
alice in wonderland (1951),children disney alice animation in adventure fantasy (1951) wonderland musical
"fox and the hound, the (1981)","children (1981) and animation drama fox hound, disney the"
"sound of music, the (1965)","of (1965) and hammerstein romance music, rogers sound musical the"
secrets & lies (1996),netflix & queue drama in (1996) lies secrets
that thing you do! (1996),do! you drama (1996) thing comedy music that
william shakespeare's romeo + juliet (1996),cinematography dicaprio shakespeare classics amazing updated drama (1996) juliet romance leonardo shakespeare's + romeo william
shall we dance (1937),shall we (1937) and comedy romance rogers dance astaire musical
crossfire (1947),(1947) anti-semitism crime film-noir crossfire
"innocents, the (1961)","innocents, (1961) drama thriller horror governess the"
"fish called wanda, a (1988)","wanda, called comedy crime (1988) fish a"
monty python's life of brian (1979),of bible python's brian life comedy parody (1979) religion monty
victor/victoria (1982),(1982) victor/victoria dressing romance comedy cross musical
"candidate, the (1972)","politics drama candidate, (1972) the"
bonnie and clyde (1967),(1967) and drama bonnie crime gangsters 1920s clyde
dirty dancing (1987),dirty drama (1987) dancing romance music dance musical
reservoir dogs (1992),cast (1992) heist reservoir religion violence stylized neo-noir mystery thriller crime nonlinear quentin dogs ensemble humorous tarantino
platoon (1986),drama (1986) war vietnam platoon
"doors, the (1991)","morrison doors, (1991) drama jim 1960s music the"
sophie's choice (1982),(1982) sophie's drama holocaust choice
e.t. the extra-terrestrial (1982),(1982) extra-terrestrial sci-fi children aliens drama e.t. the
top gun (1986),gun (1986) action romance predictable navy top
rebel without a cause (1955),1950s drama (1955) cause without adolescence rebel a
"streetcar named desire, a (1951)","streetcar named desire, williams drama tennessee (1951) a"
"people vs. larry flynt, the (1996)","people of expression larry flynt, drama freedom (1996) comedy vs. the"
on golden pond (1981),(1981) drama aging golden on pond
"return of the pink panther, the (1975)","of return panther, comedy crime (1975) pink clousseau the"
private benjamin (1980),military benjamin private (1980) comedy
monty python and the holy grail (1975),arthur and king england adventure comedy grail holy (1975) fantasy british python monty the
when we were kings (1996),netflix we kings queue were in (1996) documentary boxing when
wallace & gromit: the wrong trousers (1993),children & wallace (1993) animation aardman comedy gromit: trousers crime wrong the
bob roberts (1992),(1992) politics bob comedy roberts
enchanted april (1992),(1992) enchanted drama italy romance april
paths of glory (1957),of military drama war glory paths (1957) court
"grifters, the (1990)","drama grifters, crime film-noir (1990) the"
"english patient, the (1996)","drama war adultery (1996) patient, english romance the"
my left foot (1989),netflix foot queue drama in (1989) my left
passion fish (1992),(1992) disability drama passion fish
strictly ballroom (1992),(1992) comedy romance australia ballroom dance strictly
"thin blue line, the (1988)","blue netflix line, queue police in documentary (1988) thin the"
one flew over the cuckoo's nest (1975),flew nest cuckoo's emotional mental one nicholson drama over illness (1975) jack the
star wars: episode v - the empire strikes back (1980),am your original opera sci-fi v star adventure empire george ford the strikes (1980) sequel music i plot back episode space - lucas action harrison father classic wars:
"princess bride, the (1987)","bride, montoya action (1987) adventure comedy romance six-fingered man fantasy inigo princess the"
raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981),(1981) and spielberg lost archaeology covenant hunt raiders adventure treasure ark indiana the of jones (indiana steven action ark)
aliens (1986),sci-fi craft suspense aliens travel (1986) action adventure horror space
"good, the bad and the ugly, the (buono, il brutto, il cattivo, il) (1966)","il brutto, spaghetti bad and (1966) action adventure ugly, (buono, western il) cattivo, good, the"
12 angry men (1957),gritty screenplay men dialogue drama 12 great thought-provoking angry good motivational (1957) court claustrophobic earnest confrontational
lawrence of arabia (1962),of middle drama war adventure east lawrence arabia (1962)
"clockwork orange, a (1971)","sci-fi drama brainwashing thriller crime clockwork orange, (1971) a"
to kill a mockingbird (1962),harper to drama racism mockingbird lee (1962) a kill
apocalypse now (1979),now apocalypse drama war action vietnam (1979)
once upon a time in the west (c'era una volta il west) (1968),time volta once il spaghetti drama upon in (c'era action western (1968) west una west) a the
star wars: episode vi - return of the jedi (1983),skywalker darth return opera sci-fi star (1983) adventure jedi vader the of episode space - action luke vi wars:
"third man, the (1949)","zither third venice mystery thriller wheel man, film-noir (1949) ferris the"
goodfellas (1990),drama mafia crime goodfellas (1990)
alien (1979),sci-fi aliens alien horror (1979)
ran (1985),(1985) war drama samurai ran
psycho (1960),250 (1960) remade white hitchcock suspenseful psycho and tense imdb psychology alfred crime norman bates horror black top
"blues brothers, the (1980)","saturday live blues action (1980) comedy night brothers, musical the"
"godfather: part ii, the (1974)","(1974) godfather: part drama al mafia crime pacino ii, the"
full metal jacket (1987),full drama war (1987) metal jacket vietnam anti-war
"grand day out with wallace and gromit, a (1989)","sci-fi out children wallace and gromit, grand day adventure animation comedy (1989) with moon a"
henry v (1989),v shakespeare drama war action henry romance (1989)
amadeus (1984),(1984) mozart drama amadeus salieri
raging bull (1980),bull raging drama (1980) boxing
annie hall (1977),new (1977) comedy romance annie york hall
"right stuff, the (1983)","nasa (1983) right space drama stuff, the"
"boot, das (boat, the) (1981)","submarine (1981) boot, drama war (boat, action the) das"
"sting, the (1973)","(1973) entertainer sting, comedy crime the"
harold and maude (1971),and drama comedy romance may-december maude harold (1971)
"seventh seal, the (sjunde inseglet, det) (1957)","death det) atmospheric (sjunde drama philosophical seventh reflective inseglet, existentialism (1957) cerebral seal, chess the"
"terminator, the (1984)","time sci-fi effects travel (1984) action intelligence tense thriller artificial robots special terminator, the"
glory (1989),war drama glory (1989) civil
rosencrantz and guildenstern are dead (1990),shakespeare of and drama comedy dead rosencrantz are sort guildenstern (1990)
manhattan (1979),white drama and comedy romance manhattan black (1979)
miller's crossing (1990),drama mafia thriller crime crossing film-noir miller's (1990)
dead poets society (1989),highschool school drama poets high dead (1989) society
"graduate, the (1967)","(1967) garfunkel drama and comedy romance simon graduate, the"
"femme nikita, la (nikita) (1990)","la men femme action romance thriller crime nikita, (nikita) hit (1990)"
"bridge on the river kwai, the (1957)","kwai, bridge pow river drama war adventure on (1957) the"
chinatown (1974),(1974) chinatown mystery crime thriller incest film-noir
"day the earth stood still, the (1951)","sci-fi aliens still, drama day thriller (1951) stood the earth"
"treasure of the sierra madre, the (1948)","madre, of drama action adventure cold treasure western sierra (1948) the"
better off dead... (1985),off (1985) skiing comedy romance dead... better
"shining, the (1980)","psychological stephen suspense atmospheric nicholson king (1980) kubrick disturbing shining, horror masterpiece jack stanley the"
stand by me (1986),(1986) drama king adventure me stand by stephen
m (1931),menacing killer mental m atmospheric chilly illness creepy thriller crime oninous film-noir serial (1931)
"great escape, the (1963)","pow (1963) drama war action adventure great escape, the"
"deer hunter, the (1978)","(1978) drama war vietnam hunter, deer the"
unforgiven (1992),(1992) revenge drama western unforgiven
"manchurian candidate, the (1962)","assassination war candidate, thriller crime brainwashing manchurian (1962) the"
arsenic and old lace (1944),arsenic and old comedy mystery thriller (1944) murder lace
back to the future (1985),time sci-fi to (1985) travel adventure comedy back future the
patton (1970),patton ii world drama war (1970)
akira (1988),visually sci-fi stunning akira animation action adventure (1988) anime
cool hand luke (1967),(1967) hand drama luke cool prison
cyrano de bergerac (1990),de netflix cyrano queue bergerac drama in comedy romance (1990)
young frankenstein (1974),(1974) spoof comedy frankenstein young fantasy
raise the red lantern (da hong deng long gao gao gua) (1991),netflix (da queue (1991) long drama deng in raise red gao hong gua) lantern the
"great dictator, the (1940)","nazis drama war comedy dictator, great (1940) the"
fantasia (1940),children disney animation fantasy fantasia (1940) musical
high noon (1952),(1952) drama high western gunfight noon
"big sleep, the (1946)","sleep, mystery crime film-noir hammett the big (1946)"
heathers (1989),school heathers high comedy (1989)
this is spinal tap (1984),mockumentary tap is (1984) metal comedy spinal music this heavy
indiana jones and the last crusade (1989),and action adventure archaeology crusade jones last grail (1989) holy indiana the
being there (1979),there drama comedy television being (1979)
gandhi (1982),(1982) india drama gandhi
"room with a view, a (1986)","e. room (1986) drama romance m. forster with view, a"
"killing fields, the (1984)","(1984) drama war cambodia killing vietnam fields, the"
forbidden planet (1956),sci-fi shakespeare of drama forbidden planet sort (1956) space
field of dreams (1989),children of baseball drama dreams field (1989) fantasy
"man who would be king, the (1975)","would be drama who man adventure india (1975) the king,"
butch cassidy and the sundance kid (1969),sundance cassidy kid and action crime (1969) western butch the
when harry met sally... (1989),harry met new sally... comedy romance (1989) york when
"birds, the (1963)","(1963) thriller horror birds, birds the"
cape fear (1991),de robert lewis remake (1991) fear martin niro thriller horror cape juliette scorsese
cape fear (1962),fear drama thriller crime lawyer cape (1962)
carrie (1976),school drama king high thriller carrie horror (1976) fantasy prom stephen
"nosferatu (nosferatu, eine symphonie des grauens) (1922)","(nosferatu, (1922) symphonie vampires horror nosferatu grauens) eine des"
"omen, the (1976)","omen, mystery thriller horror (1976) demons the"
"mirror has two faces, the (1996)","ads mirror personals drama two (1996) comedy romance faces, has the"
breaking the waves (1996),breaking drama (1996) waves mystery religion the
star trek: first contact (1996),sci-fi star contact action (1996) adventure thriller borg first trek:
shine (1996),drama shine (1996) romance music
sling blade (1996),drama blade (1996) sling ex-con
paradise lost: the child murders at robin hood hills (1996),netflix at lost: paradise hills queue hood in (1996) child documentary robin murders the
"preacher's wife, the (1996)","wife, preacher's drama (1996) religion the"
"crucible, the (1996)","arthur drama (1996) miller crucible, the"
